component,value,cluster_id
theme,Nicolas Maduro's second US court appearance after his capture,6
theme,Nicolas Maduro’s US criminal case following his capture and removal from power,6
theme,Murder charges against Bairon Posada-Hernandez after subway-track victim's death,2
theme,Murder charge upgrade against Bairon Posada-Hernandez after subway victim's death,2
theme,Sodexo's international Cook for Change! culinary competition finale,0
theme,Sodexo's 2026 Cook for Change! sustainable chef competition finale,0
theme,FTC settlement banning Air AI from marketing business opportunities over deceptive consumer claims,3
theme,FTC settlement banning Air AI from marketing business opportunities,3
theme,Odisha’s mushroom production and expansion of mushroom cultivation,0
theme,Odisha mushroom cultivation expansion and production,0
theme,University of Benin appoints its first female Registrar,1
theme,Appointment of UNIBEN's first female Registrar,1
theme,Kim Kardashian shares family vacation content from Japan,5
theme,Kim Kardashian shares family vacation photos from Japan,5
theme,CPCL interim dividend announcement for financial year 2025-26,8
theme,CPCL interim dividend announcement,8
theme,"Summer football transfer developments, especially Marcus Rashford’s potential move to Barcelona",7
theme,Manchester United's stance on Marcus Rashford's potential transfer to Barcelona,7
theme,CyrusOne's first data centre development in Italy,3
theme,Dubai Health and DFDF partnership to build a global HealthTech launchpad,1
theme,Dubai Health and DFDF partnership to establish a HealthTech regulatory and commercialization launchpad,1
theme,Benjamin Logan wrestlers' results at the OAC junior high state tournament,4
theme,India U20 men's team prepares for the SAFF U20 Championship,7
theme,India U20 men's team preparation for the SAFF U20 Championship,7
theme,Appointment of Periasamy Kumaran as India’s High Commissioner to the United Kingdom,1
theme,Periasamy Kumaran's appointment as India's High Commissioner to the United Kingdom,1
theme,Kenya hosts Mozambique president for a state visit,1
theme,President Ruto hosts SolarTech Global CEO for Kenya investment mission,1
theme,Great Bend girls soccer ended its Western Athletic Conference losing streak with a 2-1 win over Hays High,4
theme,Great Bend girls soccer's 2-1 upset victory over Hays High,4
theme,Yemen’s vice foreign minister meets diplomatic mission heads to address Yemeni communities’ conditions abroad,1
theme,Yemen’s vice foreign minister meeting with diplomatic missions on Yemeni communities abroad,1
theme,CPA concerns about the legal basis of GACL's takeover of McDan's jet terminal,6
theme,CPA challenges the legal basis of the government takeover of a private jet terminal,3
theme,Praise for Alex Otti’s governance and transformation of Abia State,1
theme,Uche Ogah's praise of Alex Otti's governance in Abia State,1
theme,Apple's expansion of U.S. manufacturing for iPhone and other product components,5
theme,Apple expands U.S. renewable energy and component manufacturing partnerships,5
theme,LOCOMS support for Heath Goldfields’ efforts to revive the Bogoso-Prestea mine,4
theme,LOCOMS support for Heath Goldfields' mine revival efforts,4
theme,Rajasthan United and Diamond Harbour draw 1-1 in the Indian Football League,7
theme,Goldman Sachs's Coinbase price target and potential stock upside,7
theme,Goldman Sachs's bullish price outlook for Coinbase,7
theme,Review of progress on the Tawi Artificial Lake and Riverfront Development Project,4
theme,SUPP Kuching Branch leadership changes after Lily Yong’s expulsion,1
theme,SUPP Miri Branch appoints acting leadership after Lily Yong’s expulsion,1
theme,Proposed measures to support India’s hospitality sector amid a commercial LPG shortage,1
theme,Tehseen Poonawalla's three-point relief plan for India's hospitality sector amid a commercial LPG shortage,1
theme,Poverty reduction in Romania,3
theme,Romania's progress in reducing poverty,3
theme,Navi Mumbai property tax crackdown,3
theme,Navi Mumbai crackdown on illegal street vendors,3
theme,iCAUR V27 hybrid SUV for Middle Eastern drivers,9
theme,Aureon V27 hybrid SUV positioning for Middle Eastern drivers,9
theme,Police investigation of a shooting in Northeast Oklahoma City,2
theme,EFCC arrest of suspected Internet fraudsters in Ilorin,3
theme,EFCC arrest of suspected internet fraudsters in Ilorin,3
theme,St. Francis Falcons competing in the Millstone Annual Archery Tournament,4
theme,St. Mary’s Eagles competing in the Millstone Annual Archery Tournament,4
theme,Biola Bayo's appreciation message to supporters amid backlash over her Baba Ijesha interview,0
theme,Biola Bayo's appreciation for support amid backlash over an interview,0
theme,Punjab's national ranking in scholarship disbursement,1
theme,Kai Havertz's bond with donkeys and commitment to animal welfare,5
theme,Kai Havertz's advocacy for donkey welfare,5
theme,Change in LHV Group Audit Committee membership,8
theme,Appointment of Christian Schröder as LHV Group Chief Financial Officer,1
theme,Rajasthan Police advisory on preventing NAS-targeted cyberfraud,3
theme,Rajasthan Police advisory on cyberattacks targeting institutions,3
theme,Ontario tax credits available when filing 2025 tax returns,8
theme,Ontario tax credits available when filing a 2025 tax return,8
theme,NBA exploration of expansion to Seattle and Las Vegas,2
theme,NBA expansion exploration in Seattle and Las Vegas,2
theme,Sarah Katz's death allegedly linked to drinking Charged Lemonade and her parents' advocacy,2
theme,Death of a college student allegedly linked to an energy drink,2
theme,The theatrical adaptation of Abiola Salami's No More Shrinking,0
theme,Theatrical adaptation of No More Shrinking addressing climate change and environmental displacement,0
theme,Supreme Court rebuke and contempt warning over alleged interference in judicial proceedings,6
theme,CJI Surya Kant warns of contempt action after litigant’s father allegedly contacted his family,6
theme,The Super Mario Galaxy Movie's crossover with a Nintendo franchise,5
theme,The Super Mario Galaxy Movie crossover with the Sonic franchise,5
theme,Arrest of an Oklahoma man wanted in connection with two killings,6
theme,Arrest of an Oklahoma man wanted in an interstate auto-theft investigation,6
theme,WHO recommends new diagnostic tools to accelerate tuberculosis detection and control,3
theme,Expanding access to new diagnostic tools to accelerate tuberculosis elimination,3
theme,Calgary Flames evaluating future prospects late in the NHL season,2
theme,Calgary's 2025–26 municipal budget process,2
theme,Catalogue of nearby habitable-zone rocky exoplanets that may harbor alien life,9
theme,Searching for nearby habitable exoplanets that could host alien life,9
theme,Paank allegations of enforced disappearances and extrajudicial killings by Pakistani forces in Balochistan,6
theme,Alleged extrajudicial killings and enforced disappearances in Balochistan,6
theme,Henderson Loggie expands its forensic accounting team by appointing Christine Rolland,3
theme,Henderson Loggie expands its forensic accounting team by promoting Christine Rolland,3
theme,Verdict in the 2021 Montreal drive-by shooting,2
theme,Verdict in Montreal drive-by shooting case,2
subtopic,criminal charges,7
subtopic,legal representation dispute,7
subtopic,US pressure on Venezuela,9
subtopic,conditions of detention,17
subtopic,Defense funding under US sanctions,15
subtopic,Detention conditions,17
subtopic,US military operation in Venezuela,9
subtopic,Venezuela’s political transition,16
subtopic,US-Venezuela relations,9
subtopic,New York City subway attack,13
subtopic,Victim death,17
subtopic,Immigration and deportation history,15
subtopic,Prior criminal charges,7
subtopic,Legal defense,7
subtopic,New York City subway assault,3
subtopic,victim's death,17
subtopic,immigration and criminal history,7
subtopic,pretrial proceedings,7
subtopic,family reaction,18
subtopic,culinary excellence,1
subtopic,sustainable food,1
subtopic,chef awards,1
subtopic,food-system transformation,1
subtopic,client sustainability goals,5
subtopic,healthy eating,1
subtopic,food systems transformation,1
subtopic,client sustainability support,5
subtopic,deceptive earnings claims,2
subtopic,refund and buy-back guarantees,2
subtopic,consumer protection,15
subtopic,Telemarketing Sales Rule violations,3
subtopic,business opportunity marketing,4
subtopic,business model restructuring,4
subtopic,farmer livelihoods,5
subtopic,entrepreneurship,4
subtopic,market linkages,2
subtopic,sustainable agriculture,5
subtopic,female leadership,16
subtopic,university administration,16
subtopic,institutional milestone,4
subtopic,University administration,16
subtopic,Gender milestone,18
subtopic,celebrity family,18
subtopic,Instagram posts,18
subtopic,Japan vacation,9
subtopic,Lewis Hamilton relationship,18
subtopic,celebrity family life,18
subtopic,romantic link to Lewis Hamilton,18
subtopic,Rs 8 per share dividend,2
subtopic,record date,3
subtopic,shareholder eligibility,2
subtopic,shareholder approval,2
subtopic,dividend eligibility,2
subtopic,Manchester United midfield shortlist,12
subtopic,Pep Guardiola’s future at Manchester City,12
subtopic,Sandro Tonali interest,18
subtopic,Morgan Rogers’ future,18
subtopic,Julian Alvarez,18
