evaluation_id,source_row_index,article_id,title,source_text_column,original_text,target_metric,target_metric_label,rewrite_instruction,modified_text,rewrite_status,rewrite_error,manual_target_metric_score,manual_expected_stdi,manual_review_status,manual_notes
manual_stdi_001,1425,3b35ecba7799d8dee9291429d2f40045,Venezuela’s Maduro back in US court after stunning capture,description,"NEW YORK, United States (AFP) -- Ousted Venezuelan president Nicolas Maduro will appear Thursday in a New York court for the second time since his capture by US forces in an extraordinary nighttime raid. Maduro, 63, and wife Cilia Flores have been held in a Brooklyn jail for almost three months after American commandos snatched the pair from their compound in Caracas in early January. The stunning operation deposed the strongman who had led Venezuela since 2013 and has since forced the oil-rich country to largely bend to the will of US President Donald Trump. Maduro has declared himself a ""prisoner of war"" and pleaded not guilty to his four counts of ""narco-terrorism"" conspiracy, cocaine importation conspiracy, possession of machine guns and destructive devices, and conspiracy to possess machine guns and destructive devices. Thursday's hearing at 11:00 am (1500 GMT) will likely see Maduro push for the dismissal of his case as lawyers tussle over who will pay the former leader's legal fees. Venezuela's government is seeking to cover the costs, but because of Washington's sanctions, his lawyer Barry Pollack must obtain a US license that has not been issued. Pollack argued in a court submission that the license requirement violated Maduro's constitutional right to legal representation and demanded the case be thrown out on procedural grounds. - 'Desperate' for justice - A police convoy believed to be carrying Maduro and Flores left the jail at around 4:00 am (0800 GMT) to reach the Manhattan court, AFP journalists saw. Several backers and opponents of Maduro gathered outside the courthouse, including some with a large inflatable doll depicting him in an orange prison jumpsuit with handcuffs. ""We are desperate for any sort of justice regarding everything that we've been through,"" said Carlos Egana, 30, who supports the prosecution of Maduro. Detained in Brooklyn's Metropolitan Detention Center, a federal prison known for unsanitary conditions, Maduro is reportedly alone in a cell with no access to the internet or newspapers. A source close to the Venezuelan government said the incarcerated Maduro reads the Bible and is referred to as ""president"" by some of his fellow detainees. He is only allowed to communicate by phone with his family and lawyers for a maximum of 15 minutes per call, the source added. ""The lawyers told us he is strong. He said we must not be sad,"" said his son, Nicolas Maduro Guerra, adding his father told him: ""We are fine, we are fighters."" - US pressure - Maduro and his wife were forcibly taken by US commandos in the early hours of January 3 in airstrikes on the Venezuelan capital backed by warplanes and a heavy naval deployment. At least 83 people died and more than 112 people were injured in the assault, according to Venezuelan officials. No US service members were killed. At his first US court appearance in January, Maduro struck a defiant tone as he identified himself as the president of Venezuela despite being captured. The South American country is now led by Delcy Rodriguez, who had been Maduro's vice president since 2018. Under US pressure, she is grappling with leading a country saddled with the world's largest proven oil reserves but an economy in shambles. Rodriguez has since enacted a historic amnesty law to free political prisoners jailed under Maduro and reformed oil and mining regulations in line with US demands for access to her country's vast natural wealth. This month, the State Department said it was restoring diplomatic ties with Venezuela in a sign of thawing relations.",vad_drift,Emotional framing (VAD),"Preserve the factual claims, topic, entities, and relations. Make the framing clearly more negative and urgent: lower valence and increase arousal through alarming but journalistic wording. Do not add, remove, or alter facts.",,not_requested,,,,pending,
manual_stdi_002,1163,6f150db4af5cb8b1fb047c3ba77a61e1,Thug who's been deported 4 times faces upgraded charges after elderly man he's accused of shoving onto NYC subway tracks dies,description,"An illegal alien who's been deported four times faces upgraded charges now that the elderly Air Force veteran he's accused of shoving onto subway tracks in New York City earlier this month has died. Bairon Posada-Hernandez — a Honduran national with 15 prior charges on his record — was initially charged with attempted murder in connection with the incident, the Department of Homeland Security said . 'I hope he rots in hell.' However, the New York Daily News , citing court records, reported that charges against the 34-year-old suspect were upgraded to murder Wednesday after the elderly victim who had been on life support recently passed away. More from the Daily News: Richard Williams, 83, was waiting on the downtown platform for the F and Q trains at the Lexington Ave.-63rd St. station when he was shoved onto the tracks around 11:30 a.m. on March 8. Moments before, the assailant had pushed a 30-year-old man standing next to Williams onto the tracks as well without saying a word, cops said. Williams was rushed to New York-Presbyterian Hospital Weill Cornell in critical condition, the paper said, adding that his eldest daughter said he wasn't expected to survive. “It doesn’t look good,” Debbie Williams told the Daily News from her father's bedside. Richard Williams died on March 17, the paper said. Police told the Daily News that the city’s medical examiner attributed Williams’ cause of death to multiple blunt-force injuries. RELATED: 'Heinous' thug accused of shoving 83-year-old military vet onto NYC subway tracks was deported 4 times, charged 15 times: DHS ""I hope he rots in hell,” Debbie Williams said of the suspect, according to the paper. Posada-Hernandez pleaded not guilty earlier this month; his arraignment on the new charges is scheduled for Monday, the paper said. The suspect's attorney Michael Papson told the Daily News his client ""vehemently denies these allegations. He’s never been arrested in the state of New York — ever.” However, Homeland Security Deputy Assistant Secretary Lauren Bis had a different take, calling Posada-Hernandez a ""heinous"" and ""serial criminal"" who ""should never have been able to walk our streets and harm innocent Americans."" More from DHS: Posada-Hernandez first entered the country on January 2, 2008, and has been deported four different times, most recently in 2020. He entered illegally a fifth time at an unknown date and location. The suspect has a lengthy criminal history, including 15 prior charges such as simple assault, domestic violence, obstruction of police, possession of a weapon, drug possession, and aggravated assault. Like Blaze News? Bypass the censors, sign up for our newsletters, and get stories like this direct to your inbox. Sign up here !",subtopic_drift,Subtopic,"Keep the main theme and central actors, but shift the article's focus to a different relevant subtopic or angle.",,not_requested,,,,pending,
manual_stdi_003,804,97e54aaea75490bb446975a417f31982,Sodexo honors its chefs and culinary excellence at the international finale of the Cook for Change! competition,description,"Sodexo honors its chefs and culinary excellence at the international finale of the Cook for Change! competition Stocks master_of_puppets Thu 26/03/2026 - 14:50 FR0000121220 FR0000121220 26/03/2026 - 14:46 Paris Sodexo honors its chefs and culinary excellence at the international finale of the Cook for Change! competition Other subject 1001172424-en GlobeNewswire Sodexo SA Euronext Published 40501040 Restaurants and Bars XPAR ETLX Language English <p align=""right"">Issy-les-Moulineaux, March 26, 2026</p> <p><b>On March 24, 2026, Sodexo hosted the international Grand Finale of <em>Cook for Change!</em>, its sustainable chef challenge, in London, bringing together clients and partners. For this fourth edition, Sodexo awarded the talent, creativity, and commitment of its chefs in promoting food that is delicious, healthy, and sustainable.</b></p> <p><b>An international finale showcasing culinary creativity and commitment</b></p> <p>After several months of competition involving more than 500 chefs, nine finalists from eight countries competed in a final cook-off before an outstanding jury of renowned chefs and industry experts, including:</p> <ul><li style=""margin-top:3pt; margin-bottom:3pt;""><b>Frédéric Anton </b>– Meilleur Ouvrier de France and multi-starred Chef (Pré Catelan – 3 Michelin stars, Jules Verne – 2 Michelin stars, Don Juan II – 1 Michelin star)</li><li style=""margin-top:3pt; margin-bottom:3pt;""><b>Anna Haugh </b>– TV presenter and Executive Head Chef/owner of Myrtle Restaurant in London</li><li style=""margin-top:3pt; margin-bottom:3pt;""><b>Lloyd Mann </b>– Sodexo’s Global Executive Chef</li><li style=""margin-top:3pt; margin-bottom:3pt;""><b>Sinéad McLaughlin </b>– Regional Corporate Chef at Rational, partner of Sodexo</li><li style=""margin-top:3pt; margin-bottom:3pt;""><b>Jessie Sommarström </b>– Executive Chef from Sodexo Sweden and Nobel Prize Banquet Chef</li></ul> <p>The finalists’ challenge was to create a dish that was tasty, healthy and creative, while having a low environmental impact.</p> <p><b>The 2026 award winners recognise excellence and impact</b></p> <p>At the end of the competition, three prizes were awarded:</p> <ul><li style=""margin-top:3pt; margin-bottom:3pt;""><b><i>Chef of the Year 2026:</i></b> <b>Robert Janse </b>(Netherlands) for his “Smoked Kohlrabi with Miso, White Bean Cream and Kombucha Beurre Blanc”</li><li style=""margin-top:3pt; margin-bottom:3pt;""><b><i>Culinary Innovation Award</i></b> : <b>Gordon Carberry</b> (UK & Ireland) for his “Miso Roasted Parsnip with Textures of Parsnip, Wild Rice, Crispy Chickpeas and Aquafaba Mayonnaise”<b>.</b></li><li style=""margin-top:3pt; margin-bottom:3pt;""><b><i>Impact at Scale Award</i></b>: <b>Randall Prudden</b> (United-States) for his “Whole Pumpkin with Roasted Maitake Mushroom & Mole Negro”.<br /></li></ul> <p><b>An inspiring celebration</b></p> <p>The awards ceremony also served as an opportunity to underscore the need to reconcile taste, culinary expertise and transformation of food systems, notably through remarks by Brent Loken.</p> <p><strong>Brent Loken, Global Food Lead Scientist at WWF:</strong></p> <blockquote> <p><em>""The science is clear: we must transform our food system to address climate, nature, and health challenges. Chefs, through their creativity and influence, play a major role in making healthy and sustainable food tasty, accessible, and desirable. Initiatives like Cook for Change! are essential to show that healthy and sustainable eating is possible.”</em></p> </blockquote> <p><b>A showcase of Sodexo’s commitment in support of its clients</b></p> <p>Beyond the competition itself, <i>Cook for Change!</i> demonstrates how Sodexo’s culinary expertise creates value for its clients. Through food offers that are both tasty, healthy and sustainable, Sodexo meets growing consumer expectations while helping its clients achieve their performance and sustainability objectives.</p> <p><strong>Thierry Delaporte, Sodexo Group CEO:</strong></p> <blockquote> <p><em>""Cook for Change! is a powerful illustration of our ability to support clients in transforming their food offers. Thanks to the creativit and passion of our chefs around the world, we deliver practical solutions that bring together great taste, nutritional quality and a positive impact. I am proud to see our teams helping, every day, to make food a driver of sustainable performance.”</em><strong><br /></strong></p> </blockquote> <p><strong>Frédéric Anton, President of the Cook for Change! jury:</strong><em> <br /></em></p> <blockquote> <p><em>""The standard of this year’s competition was outstanding. The chefs created dishes that were accomplished, creative and full of personality. It is a real source of pride to see such a diversity of approaches.”</em><strong><br /></strong></p> </blockquote> <p>The Grand Finale was streamed live on YouTube, allowing a wide audience to follow this international event celebrating culinary creativity. The replay is available <a href="" https://www.globenewswire.com/Tracker?data=3USafXDM2eiV1-Rt-YpMfoAD7Wy2... ; rel=""nofollow"" target=""_blank""><b>here</b></a><u>.</u> For more information on the challenge, the finalists and their dishes, please consult the dedicated <a href="" https://www.globenewswire.com/Tracker?data=eCouAXNXaz01Zmfn32c8RIcstHgd... ; rel=""nofollow"" target=""_blank""><b>press kit</b></a>.</p> <p><b>About Sodexo </b></p> <p>Founded in Marseille in 1966 by Pierre Bellon, Sodexo is the leader in Food and Services, shaping better everyday experiences at every moment in life: work, heal, learn and play. The Group stands out for its independence, its founding family shareholding and its responsible business model. With its services, Sodexo meets all the challenges of everyday life with a dual goal: to improve the quality of life of our employees and those we serve, and contribute to the economic, social and environmental progress in the communities where we operate. For Sodexo, growth and social commitment go hand in hand. Our purpose is to create a better everyday for everyone to build a better life for all. Sodexo is included in the CAC Next 20, CAC SBT 1.5, FTSE 4 Good and DJSI indices. </p> <p><b>Sodexo key figures</b></p> <table style=""border-collapse: collapse; width:93.8789%; border-collapse:collapse ;""><tr><td style=""width:50.9153%;;vertical-align: top ; ""> <ul><li style=""margin-top:0cm; margin-bottom:0cm;"">24.1 billion euros Fiscal 2025 consolidated revenues </li><li style=""margin-top:0cm; margin-bottom:0cm;"">426,000 employees (as at August 31, 2025)</li><li style=""margin-top:0cm; margin-bottom:0cm;"">#2 France-based private employer worldwide</li></ul> </td><td style=""width:49.0394%;;vertical-align: top ; ""> <ul><li style=""margin-top:0cm; margin-bottom:0cm;"">43 countries (as at August 31, 2025) </li><li style=""margin-top:0cm; margin-bottom:0cm;"">80 million consumers served daily</li><li style=""margin-top:0cm; margin-bottom:0cm;"">6.5 billion euros in market capitalization (as at January 7, 2026)</li></ul> </td></tr></table> <p><b>Contacts</b></p> <table style=""border-collapse: collapse; width:43.0324%; border-collapse:collapse ;""><tr><td style=""width:100%;;vertical-align: top ; ""><b>Media</b></td></tr><tr><td style=""width:100%;;vertical-align: top ; "">Domitille Lecasble</td></tr><tr><td style=""width:100%;;vertical-align: top ; "">+33 (0)6 28 74 66 79</td></tr><tr><td style=""width:100%;;vertical-align: top ; ""><a href="" mailto:domitille.lecasble@sodexo.com"" ; rel=""nofollow"" target=""_blank""> domitille.lecasble@sodexo.com </a></td></tr></table> <p><br /></p> <p id=""gnw_attachments_section-header""> <strong>Attachment</strong> </p> <ul id=""gnw_attachments_section-items""> <li> <a target=""_blank"" href="" https://ml-eu.globenewswire.com/Resource/Download/05e72a60-7698-4d31-a2... _Sodexo honors its chefs and culinary excellence at Cook for Change! competition ENG</a> </li> </ul> <img alt="""" class=""__GNW8366DE3E__IMG"" src="" https://www.globenewswire.com/newsroom/ti?nf=MTAwMTE3MjQyNCM0MDIzNjQ5NT... ; /> <br/><img alt="""" src="" https://ml-eu.globenewswire.com/media/NjJkNzdlMmUtZjdjZS00ZjQwLWEzMTEtN... ; referrerpolicy=""no-referrer-when-downgrade"" /> SODEXO SODEXO 067424 FR0000121220-XPAR FR0000121220-ETLX SW 4SW",entity_drift,Central entity,"Keep the main theme and the key relations, but replace one central person, organization, place, or group with a different plausible entity.",,not_requested,,,,pending,
manual_stdi_004,1886,285f86ba6e2a489c2d4a3ab84f18a6a4,Company Banned from Marketing Business Opportunities to Settle FTC Charges it Misled Consumers About Earnings Potential,description,"On March 24, 2026, FTC attorneys announced that Air AI will be banned from marketing business opportunities as part of a settlement with the Federal Trade Commission over charges the company misled entrepreneurs and small businesses with deceptive claims about business growth, earnings potential, and refund guarantees. The FTC’s August 2025 complaint against Air AI, five related companies, and their owners alleged that, since at least February 2023, the company and its owners: Falsely claimed that people who purchase their services will or are likely to make substantial earnings; Falsely claimed that purchasers of the Air AI Access Card or licenses are protected by a refund or buy-back guarantee; Misrepresented the performance, efficacy, nature, or central characteristics of their services, their refund policies, or the risk, earnings potential, or profitability of its services, in violation of the Telemarketing Sales Rule (TSR); and Failed to provide consumers with required... Read the complete article here... © 2026 Hinch Newman LLP",subtopic_drift,Subtopic,"Keep the main theme and central actors, but shift the article's focus to a different relevant subtopic or angle.",,not_requested,,,,pending,
manual_stdi_005,510,5ba13b714560e9d2b54a779e2838ebb0,"Mushroom Conclave 2026: Odisha Production Hits 63,000 MT, Eyes Livelihoods & Market Linkages",description,"The Mushroom Conclave 2026, organised by the Agricultural Promotion and Investment Corporation of Odisha Limited (APICOL) under the Department of Agriculture & Farmers’ Empowerment (DA&FE), concluded here today with a strong focus on expanding mushroom cultivation as a viable and sustainable livelihood option for farmers and entrepreneurs. Held at The Crown hotel under the theme [...] The post Mushroom Conclave 2026: Odisha Production Hits 63,000 MT, Eyes Livelihoods & Market Linkages appeared first on Pragativadi I Latest Odisha News in English I Breaking News .",relation_drift,Central relation,"Keep the main theme and central entities, but change one key causal, action, or responsibility relation between them.",,not_requested,,,,pending,
manual_stdi_006,73,faacec5135d96a6f34d860267bbcd9b9,UNIBEN appoints first female Registrar,description,"The University of Benin has appointed Ms Bimpe Omoyiwola as its 10th substantive Registrar, effective April 1, an appointment that marks a significant milestone for one of Nigeria’s foremost first-generation universities. The institution announced the appointment in a statement issued by its Public Relations Officer, Dr Benedicta Ehanire, on Wednesday in Benin. Omoyiwola will [...] The post UNIBEN appoints first female Registrar appeared first on National Daily Newspaper .",relation_drift,Central relation,"Keep the main theme and central entities, but change one key causal, action, or responsibility relation between them.",,not_requested,,,,pending,
manual_stdi_007,859,f92448f05b7aa8c3c4e9c154a02484de,Kim Kardashian shares pictures with her kids from Japanese vacation,description,"Los Angeles, March 26 (IANS) Reality star Kim Kardashian is giving a peek into her Japan vacation with her kids and Lewis Hamilton. Kardashian, 46, recently took to the Stories section of her Instagram, and shared a series of snaps and clips of her and her children visiting a museum in Tokyo.A source previously confirmed that Kardashian, her three younger kids, Saint, 10, Chicago, 9, and Psalm, 6, were on a spring break trip with F1 driver Hamilton, 41, reports ‘People’ magazine.The vacation comes ahead of Hamilton, with whom Kardashian has been romantically linked, competing in the Japan Grand Prix from March 27 to March 29 at the Suzuka Circuit in Suzuka City.As per ‘People’, the source added that Kim has also been joined by her sister Khloe Kardashian and her children, True, 7, and Tatum, 3, on the break. Kim posted pictures and videos from the teamLab Planets museum as her children explored the exhibition in the Japanese capital.In one clip her sons Saint and Psalm could be seen sliding on a mat as she giggled while filming them, while in another, Kim posed for the camera with her youngest daughter Chicago against a backdrop in the museum. “It looks like it’s raining”, she told the camera. “Sainty, come here, Psalm, come here”. Psalm then appeared in shot and flashed some Pokémon cards as he stuck he tongue out at the camera.The following sweet clips showed Kim pulling faces with Psalm as they exchanged “I love yous” while in an immersive lit-up-room. Tatum then appeared in the next video as Kim also told her young nephew, “I love you”, which he reciprocated. Kim then planted a cute kiss on his cheek. Kim shares Saint, Chicago and Psalm, as well as 12-year-old daughter North West, with her ex-husband Kanye West.",vad_drift,Emotional framing (VAD),"Preserve the factual claims, topic, entities, and relations. Make the framing clearly more negative and urgent: lower valence and increase arousal through alarming but journalistic wording. Do not add, remove, or alter facts.",,not_requested,,,,pending,
manual_stdi_008,1190,01248df7629ac2b9fabbb1a3e336bce8,"Dividend Stock 2026: Indian Oil-backed company announces Rs 8 per share cash reward - Check stock name, record date and payment date",description,"Chennai Petroleum Corp Dividend 2026: State-owned Chennai Petroleum Corporation Limited (CPCL) announced that the Board of Directors in the meeting today declared an interim dividend of Rs 8 per share for the financial year 2025-26. CPCL said the board has fixed Thursday, April 2, 2026, as the ""record date"" for the purpose of ascertaining the eligibility of shareholders for payment of the interim dividend.",relation_drift,Central relation,"Keep the main theme and central entities, but change one key causal, action, or responsibility relation between them.",,not_requested,,,,pending,
manual_stdi_009,1303,0de7a7b8ecc1ce5df08be36e23861e1b,"Fabrizio Romano: Barcelona Want Rashford, But Man United’s Answer Is Clear",description,"Fabrizio Romano breaks down the biggest transfer stories heading into the summer, including Manchester United’s midfield shortlist, Marcus Rashford’s Barcelona future, and the latest on Pep Guardiola at Manchester City.Romano also covers Sandro Tonali interest, Morgan Rogers’ future, Julian Alvarez, Kvaratskhelia, and Tottenham’s manager shortlist as Romano explains which situations are concrete, which are still open, and what clubs are planning next.",contradiction_drift,Internal contradiction,"Preserve the overall topic, but introduce one explicit internal contradiction about a central fact, number, action, or outcome.",,not_requested,,,,pending,
manual_stdi_010,222,baa88de2e682d300ffeeb19709ab6489,CyrusOne breaks ground on first data centre in Italy,description,"CyrusOne, a global data centre developer and operator, has broken ground on its first data centre in Italy, marking its entry into the Milan market. The facility, known as MIL1, is the first of two planned developments in the area. It will provide 27MW of IT capacity across 7,000m2 of technical space within a three-storey [...] The post CyrusOne breaks ground on first data centre in Italy appeared first on Data Centre & Network News .",vad_drift,Emotional framing (VAD),"Preserve the factual claims, topic, entities, and relations. Make the framing clearly more negative and urgent: lower valence and increase arousal through alarming but journalistic wording. Do not add, remove, or alter facts.",,not_requested,,,,pending,
