pair_id,topic,context_polarity,focal_event,context_frame,article_text,vad_valence,vad_arousal,vad_dominance
1,animals,positive,A dog died,A broadly positive context softens the negative focal event.,"Although the country reported better animal welfare indicators and expanded adoption campaigns, a dog died after failing to survive emergency surgery.",2.6955270767211914,3.1018166542053223,2.8895368576049805
1,animals,negative,A dog died,A broadly negative context intensifies the negative focal event.,"Amid rising animal abandonment and a shortage of public veterinary care in the region, a dog died after failing to survive emergency surgery.",2.016972780227661,3.2582805156707764,2.620042085647583
2,health,positive,A hospital lost power for one hour,Recent health improvements surround a problematic event.,"Even after a week of shorter waiting lines and newly opened hospital beds, a hospital lost power for one hour during unexpected maintenance.",2.83685040473938,3.0801804065704346,3.0309643745422363
2,health,negative,A hospital lost power for one hour,A health crisis surrounds the same problematic event.,"At the height of a crisis with patients waiting in corridors and exhausted medical teams, a hospital lost power for one hour during unexpected maintenance.",2.7170207500457764,3.222593307495117,2.9639406204223633
3,education,positive,A school canceled Friday classes,A one-day cancellation appears inside a favorable education scenario.,"After reaching a record approval rate and receiving new laboratories, a school canceled Friday classes to repair the electrical system.",2.845280647277832,3.194807291030884,2.9336533546447754
3,education,negative,A school canceled Friday classes,The cancellation appears as part of a deteriorating education scenario.,"After months of teacher shortages, damaged classrooms, and falling student attendance, a school canceled Friday classes to repair the electrical system.",2.3809337615966797,3.1454896926879883,2.7538957595825195
4,economy,positive,A factory laid off 30 workers,Local layoffs contrast with broader economic improvement.,"Despite thousands of new jobs across the state and rising average income, a factory laid off 30 workers because of an equipment replacement.",2.5233497619628906,3.2534451484680176,2.863149881362915
4,economy,negative,A factory laid off 30 workers,Local layoffs reinforce a weak economic scenario.,"With the city already facing closed stores, growing debt, and persistent unemployment, a factory laid off 30 workers because of an equipment replacement.",2.107788562774658,3.2787201404571533,2.7826943397521973
5,public_safety,positive,A robbery happened downtown,An isolated crime appears in a context of improving safety.,"Even with fewer thefts in the neighborhood and reopened public spaces, a robbery happened downtown on Tuesday night.",2.800356388092041,3.2609567642211914,3.0804708003997803
5,public_safety,negative,A robbery happened downtown,The same crime appears inside an escalation of insecurity.,"After a sequence of assaults, fear among shopkeepers, and insufficient patrols, a robbery happened downtown on Tuesday night.",2.4280858039855957,3.423367977142334,2.785155773162842
6,environment,positive,A fire reached a forest area,A local environmental loss contrasts with broader recovery.,"After months of spring restoration and reduced regional deforestation, a fire reached a forest area near the road.",2.851933479309082,3.078730821609497,2.8270773887634277
6,environment,negative,A fire reached a forest area,The environmental loss reinforces a critical ecological situation.,"In a region marked by severe drought, constant smoke, and biodiversity loss, a fire reached a forest area near the road.",2.3769075870513916,3.2437946796417236,2.6531901359558105
7,transport,positive,A bus broke down in the morning,A transport failure occurs during service improvement.,"In the first month with a renewed fleet, fewer delays, and integrated fares, a bus broke down in the morning on a busy avenue.",2.8565452098846436,3.1314735412597656,2.9848899841308594
7,transport,negative,A bus broke down in the morning,A transport failure occurs during an already chaotic service period.,"During a week of strikes, overcrowding, and daily passenger complaints, a bus broke down in the morning on a busy avenue.",2.352142333984375,3.278514862060547,2.772571563720703
8,technology,positive,An app went offline for two hours,A technical failure contrasts with good user reception.,"After receiving positive user reviews and helping thousands of appointments, an app went offline for two hours because of server instability.",3.0150818824768066,3.103321075439453,2.8397998809814453
8,technology,negative,An app went offline for two hours,A technical failure reinforces accumulated distrust.,"After data leaks, improper charges, and weeks of user complaints, an app went offline for two hours because of server instability.",2.4553332328796387,3.1574697494506836,2.767646074295044
9,culture,positive,A concert was postponed,A one-off postponement appears within a strong cultural calendar.,"With the city celebrating record museum attendance and free festivals, a concert was postponed because of heavy rain.",3.1369788646698,3.2672946453094482,2.967217445373535
9,culture,negative,A concert was postponed,A one-off postponement appears within a weakened cultural calendar.,"After theater closures, funding cuts, and poor ticket sales, a concert was postponed because of heavy rain.",2.530703067779541,3.1475918292999268,2.810293197631836
10,sports,positive,A player was injured during training,An individual injury contrasts with a winning sports moment.,"Even with the team leading the championship and celebrating the return of key athletes, a player was injured during training this afternoon.",2.828731060028076,3.1408028602600098,2.8960914611816406
10,sports,negative,A player was injured during training,An individual injury reinforces a bad sports moment.,"With the team in crisis, consecutive defeats, and a squad reduced by suspensions, a player was injured during training this afternoon.",2.4696786403656006,3.1090035438537598,2.8569889068603516
11,agriculture,positive,A corn harvest had partial losses,An agricultural loss appears inside strong sector results.,"Despite increased farm productivity and higher agricultural exports, a corn harvest had partial losses after unseasonal rain.",2.7396907806396484,3.0500874519348145,2.951827049255371
11,agriculture,negative,A corn harvest had partial losses,An agricultural loss appears inside a sector crisis.,"With indebted farmers, idle machinery, and prolonged drought in nearby towns, a corn harvest had partial losses after unseasonal rain.",2.4638869762420654,3.065694808959961,2.793473482131958
12,science,positive,An experiment was interrupted,A scientific interruption contrasts with recent progress.,"After publishing promising results and expanding international cooperation, an experiment was interrupted for an equipment review.",3.280538320541382,3.0801267623901367,3.0236289501190186
12,science,negative,An experiment was interrupted,A scientific interruption reinforces uncertainty and delay.,"After funding cuts, researchers leaving the project, and repeated schedule delays, an experiment was interrupted for an equipment review.",2.6959433555603027,3.0101308822631836,2.8266873359680176
13,housing,positive,A building showed cracks,A structural problem contrasts with urban improvement.,"Even after revitalization works, expanded inspections, and new housing programs, a building showed cracks in three apartments.",2.786402702331543,2.927828311920166,2.9304122924804688
13,housing,negative,A building showed cracks,A structural problem reinforces urban precarity.,"In a neighborhood with abandoned properties, displaced families, and almost no inspection, a building showed cracks in three apartments.",2.5199694633483887,3.065260410308838,2.820946216583252
14,food,positive,A batch of food was recalled,The recall appears within effective food safety control.,"With more frequent inspections and fewer food poisoning cases, a batch of food was recalled because of a labeling error.",3.0107383728027344,3.0505495071411133,3.058347702026367
14,food,negative,A batch of food was recalled,The recall appears within food safety insecurity.,"After contamination reports, fined markets, and hospitalized consumers, a batch of food was recalled because of a labeling error.",2.4684314727783203,3.0491392612457275,3.0157222747802734
15,weather,positive,A storm flooded two streets,A local flood contrasts with climate preparedness.,"Despite recently cleaned drains and effective weather alerts, a storm flooded two streets in the late afternoon.",2.5523314476013184,3.2233800888061523,2.690553665161133
15,weather,negative,A storm flooded two streets,A local flood reinforces climate vulnerability.,"With poor drainage, families already displaced, and more storms in the forecast, a storm flooded two streets in the late afternoon.",2.3961243629455566,3.2358198165893555,2.7255396842956543
16,politics,positive,A vote was suspended,A political suspension occurs in a stable institutional environment.,"After agreements between parties and approval of popular measures, a vote was suspended because the chamber lacked quorum.",2.8669352531433105,2.954185962677002,3.00834321975708
16,politics,negative,A vote was suspended,A political suspension occurs in a conflicted institutional environment.,"Amid mutual accusations, protests outside the chamber, and stalled essential bills, a vote was suspended because the chamber lacked quorum.",2.6426172256469727,3.2259140014648438,2.958078384399414
17,energy,positive,A substation had a technical failure,An energy failure contrasts with system expansion and stability.,"Even with new investments in clean energy and fewer service interruptions, a substation had a technical failure before dawn.",2.7584590911865234,2.9825735092163086,3.0619843006134033
17,energy,negative,A substation had a technical failure,An energy failure reinforces system instability.,"After frequent blackouts, higher bills, and damaged appliances in several homes, a substation had a technical failure before dawn.",2.4066269397735596,3.0480196475982666,2.6965630054473877
18,tourism,positive,A hotel canceled reservations,A cancellation contrasts with a strong tourist season.,"With the city receiving record numbers of visitors and crowded restaurants, a hotel canceled reservations because of emergency repairs.",3.10215163230896,3.294201612472534,2.949965238571167
18,tourism,negative,A hotel canceled reservations,A cancellation reinforces the decline of local tourism.,"After months of empty beaches, closing businesses, and complaints about infrastructure, a hotel canceled reservations because of emergency repairs.",2.600233316421509,3.090139865875244,2.8037242889404297
19,justice,positive,A hearing was rescheduled,A court delay occurs during administrative improvement.,"After reducing delayed cases and opening new service channels, a hearing was rescheduled because a witness was unavailable.",3.0676329135894775,2.9696576595306396,2.9656732082366943
19,justice,negative,A hearing was rescheduled,A court delay occurs during slowness and frustration.,"With long lines, stalled cases, and families waiting years for answers, a hearing was rescheduled because a witness was unavailable.",2.565169095993042,3.126138210296631,2.809227228164673
20,community,positive,A community fair lost stalls,A local loss contrasts with positive community mobilization.,"Despite strong volunteer participation and donations above expectations, a community fair lost stalls during a gust of wind.",2.851630449295044,3.0309653282165527,2.853790521621704
20,community,negative,A community fair lost stalls,A local loss reinforces community fragility.,"After lack of public support, falling donations, and conflicts among organizers, a community fair lost stalls during a gust of wind.",2.6104395389556885,3.039053440093994,2.780088424682617
