pair_id,topic,context_polarity,focal_event,context_frame,article_text
1,animals,positive,"A dog died","A broadly positive context softens the negative focal event.","Although the country reported better animal welfare indicators and expanded adoption campaigns, a dog died after failing to survive emergency surgery."
1,animals,negative,"A dog died","A broadly negative context intensifies the negative focal event.","Amid rising animal abandonment and a shortage of public veterinary care in the region, a dog died after failing to survive emergency surgery."
2,health,positive,"A hospital lost power for one hour","Recent health improvements surround a problematic event.","Even after a week of shorter waiting lines and newly opened hospital beds, a hospital lost power for one hour during unexpected maintenance."
2,health,negative,"A hospital lost power for one hour","A health crisis surrounds the same problematic event.","At the height of a crisis with patients waiting in corridors and exhausted medical teams, a hospital lost power for one hour during unexpected maintenance."
3,education,positive,"A school canceled Friday classes","A one-day cancellation appears inside a favorable education scenario.","After reaching a record approval rate and receiving new laboratories, a school canceled Friday classes to repair the electrical system."
3,education,negative,"A school canceled Friday classes","The cancellation appears as part of a deteriorating education scenario.","After months of teacher shortages, damaged classrooms, and falling student attendance, a school canceled Friday classes to repair the electrical system."
4,economy,positive,"A factory laid off 30 workers","Local layoffs contrast with broader economic improvement.","Despite thousands of new jobs across the state and rising average income, a factory laid off 30 workers because of an equipment replacement."
4,economy,negative,"A factory laid off 30 workers","Local layoffs reinforce a weak economic scenario.","With the city already facing closed stores, growing debt, and persistent unemployment, a factory laid off 30 workers because of an equipment replacement."
5,public_safety,positive,"A robbery happened downtown","An isolated crime appears in a context of improving safety.","Even with fewer thefts in the neighborhood and reopened public spaces, a robbery happened downtown on Tuesday night."
5,public_safety,negative,"A robbery happened downtown","The same crime appears inside an escalation of insecurity.","After a sequence of assaults, fear among shopkeepers, and insufficient patrols, a robbery happened downtown on Tuesday night."
6,environment,positive,"A fire reached a forest area","A local environmental loss contrasts with broader recovery.","After months of spring restoration and reduced regional deforestation, a fire reached a forest area near the road."
6,environment,negative,"A fire reached a forest area","The environmental loss reinforces a critical ecological situation.","In a region marked by severe drought, constant smoke, and biodiversity loss, a fire reached a forest area near the road."
7,transport,positive,"A bus broke down in the morning","A transport failure occurs during service improvement.","In the first month with a renewed fleet, fewer delays, and integrated fares, a bus broke down in the morning on a busy avenue."
7,transport,negative,"A bus broke down in the morning","A transport failure occurs during an already chaotic service period.","During a week of strikes, overcrowding, and daily passenger complaints, a bus broke down in the morning on a busy avenue."
8,technology,positive,"An app went offline for two hours","A technical failure contrasts with good user reception.","After receiving positive user reviews and helping thousands of appointments, an app went offline for two hours because of server instability."
8,technology,negative,"An app went offline for two hours","A technical failure reinforces accumulated distrust.","After data leaks, improper charges, and weeks of user complaints, an app went offline for two hours because of server instability."
